Data_Ground,Satelite,Bulan_Tahun
,262.8374974,2009-01
,189.6471884,2009-02
,353.7094088,2009-03
,257.6003166,2009-04
,189.8170555,2009-05
,95.44407736,2009-06
,117.7050726,2009-07
,259.3217703,2009-08
,255.9340629,2009-09
,252.7062427,2009-10
,306.2361484,2009-11
,328.9566384,2009-12
,278.3689862,2010-01
,201.9847202,2010-02
,323.4054649,2010-03
,258.1532108,2010-04
,211.4522679,2010-05
,252.1916856,2010-06
,200.0276,2010-07
,250.6464313,2010-08
,273.6154587,2010-09
,231.0118384,2010-10
,363.6768532,2010-11
,239.8631702,2010-12
,360.7374217,2011-01
,131.2272008,2011-02
,254.4058779,2011-03
,289.1898272,2011-04
,165.8765228,2011-05
,134.5855874,2011-06
,107.0567142,2011-07
,190.5035446,2011-08
,213.5928832,2011-09
,331.979627,2011-10
,379.4731915,2011-11
,311.9237387,2011-12
,174.8521578,2012-01
,258.7464382,2012-02
,291.4998279,2012-03
,213.6546218,2012-04
,202.7412072,2012-05
,87.65400234,2012-06
,137.6954367,2012-07
,167.7996421,2012-08
,187.0830064,2012-09
,298.2272008,2012-10
,301.4249432,2012-11
,364.9790763,2012-12
,289.7287494,2013-01
,308.2728336,2013-02
,199.8761787,2013-03
,253.6752013,2013-04
,162.1457774,2013-05
,114.8043912,2013-06
,105.4225342,2013-07
,191.400234,2013-08
,196.9255283,2013-09
,366.865648,2013-10
,320.59777,2013-11
,394.2701494,2013-12
,249.285498,2014-01
,40.17922775,2014-02
,114.4572923,2014-03
,222.3108955,2014-04
,204.1159061,2014-05
,135.5943974,2014-06
,124.2243788,2014-07
,197.4113153,2014-08
,215.1558951,2014-09
,292.7698396,2014-10
,333.0969785,2014-11
,323.1177645,2014-12
,198.0635969,2015-01
,109.6233739,2015-02
,190.5345172,2015-03
,214.2900406,2015-04
,132.1533485,2015-05
,168.278271,2015-06
,84.74168904,2015-07
,185.9444559,2015-08
,194.3609333,2015-09
,154.137931,2015-10
,326.0635969,2015-11
,295.6445729,2015-12
,288.7392801,2016-01
,204.8155413,2016-02
,245.1090233,2016-03
,177.0348269,2016-04
,238.1704866,2016-05
,172.5846239,2016-06
,178.4533003,2016-07
,181.2251359,2016-08
,243.6450547,2016-09
,286.9845137,2016-10
,322.6264024,2016-11
,315.1005575,2016-12
371.8101582,319.1992567,2017-01
341.5672181,187.4088375,2017-02
174.314867,243.8046665,2017-03
193.7235584,236.2433753,2017-04
265.9003096,220.7489848,2017-05
118.107189,103.0247092,2017-06
138.4133986,117.9719182,2017-07
136.2970588,174.6428522,2017-08
186.6265622,290.067176,2017-09
182.831429,283.7418955,2017-10
408.4669818,416.4438021,2017-11
397.1261355,283.6864203,2017-12
391.5202492,292.0441875,2018-01
224.2978845,186.3436575,2018-02
219.0821272,242.2177025,2018-03
200.6469911,198.1756487,2018-04
288.2373151,270.4347856,2018-05
301.8953,165.5039576,2018-06
166.6452526,158.2723518,2018-07
247.135412,154.3897034,2018-08
141.6123409,207.3991328,2018-09
418.4611669,377.4447656,2018-10
413.7243001,355.7758965,2018-11
315.1865102,305.77569,2018-12
269.0801766,242.7818845,2019-01
161.2431007,196.7038337,2019-02
243.4930978,189.7772042,2019-03
251.446613,240.3379448,2019-04
139.3848202,219.970817,2019-05
178.6974237,237.3448964,2019-06
119.2319821,129.3216326,2019-07
73.41548746,144.6884851,2019-08
77.32895289,144.6326657,2019-09
145.2011292,335.4163397,2019-10
133.2693656,242.9081148,2019-11
260.7783963,341.5078808,2019-12
220.8337528,183.8805837,2020-01
169.0457317,158.8517448,2020-02
184.6432086,206.1025535,2020-03
261.7066591,344.2010462,2020-04
335.3184491,265.8299952,2020-05
207.9092638,195.306697,2020-06
151.924036,244.4577741,2020-07
135.1344061,156.6109849,2020-08
223.8662097,253.5359626,2020-09
283.394575,227.2570721,2020-10
359.8407061,380.3413862,2020-11
215.6935854,234.1271251,2020-12
,228.9182325,2021-01
,82.35171037,2021-02
,295.2060018,2021-03
,223.9315851,2021-04
,280.1514213,2021-05
,158.7451993,2021-06
,165.8027393,2021-07
,275.1110193,2021-08
,234.0442563,2021-09
,220.6449859,2021-10
,219.0128708,2021-11
,275.1753734,2021-12
,215.2006332,2022-01
,194.4049143,2022-02
,206.9048799,2022-03
,229.8665428,2022-04
,157.6925459,2022-05
,249.8422465,2022-06
,138.0693785,2022-07
,238.2218322,2022-08
,198.2259619,2022-09
,335.8665428,2022-10
,304.733705,2022-11
,319.4268016,2022-12
,278.5568174,2023-01
,144.8189827,2023-02
,241.3149563,2023-03
,203.2442701,2023-04
,186.9571891,2023-05
,165.3149563,2023-06
,159.670934,2023-07
,250.5053342,2023-08
,175.3675408,2023-09
,265.2234152,2023-10
,271.5648014,2023-11
,347.7683942,2023-12
