Bulan_Tahun,Data_Ground,Satelite
2009-01,,262.9483544994414
2009-02,,168.2142808385475
2009-03,,401.37103327709497
2009-04,,261.0065726307263
2009-05,,169.98770002178773
2009-06,,79.3792552642458
2009-07,,119.1063068932961
2009-08,,261.8472283905028
2009-09,,260.62199769720667
2009-10,,251.1575939385475
2009-11,,337.7271924575419
2009-12,,377.2056579709497
2010-01,,274.75795473631285
2010-02,,184.87589254189945
2010-03,,368.8010780631285
2010-04,,261.2503064385475
2010-05,,195.23201580391063
2010-06,,250.02560261452516
2010-07,,184.38004508268156
2010-08,,248.8936112905028
2010-09,,267.8366531921788
2010-10,,219.35612450055868
2010-11,,409.31872610558656
2010-12,,223.84926860000002
2011-01,,407.326561501676
2011-02,,132.40673309441343
2011-03,,258.17175292011177
2011-04,,291.44198194804477
2011-05,,143.23631772849163
2011-06,,134.13416091564244
2011-07,,111.50065912743018
2011-08,,171.3712159944134
2011-09,,197.0499003675978
2011-10,,382.38093326145264
2011-11,,414.7298919346369
2011-12,,341.00866891564243
2012-01,,150.34659418100557
2012-02,,261.49404024636874
2012-03,,302.1923102837989
2012-04,,198.86778493128494
2012-05,,185.39666136424583
2012-06,,76.49816134620112
2012-07,,135.11356765865924
2012-08,,144.1786252709497
2012-09,,166.95369404860335
2012-10,,321.93464614413415
2012-11,,327.2206859670392
2012-12,,410.6991392905028
2013-01,,295.0281567541899
2013-02,,339.3679306865922
2013-03,,183.90432641675977
2013-04,,255.72150814301676
2013-05,,140.28080617988826
2013-06,,118.8109701575419
2013-07,,100.79352450636871
2013-08,,174.1382479396648
2013-09,,179.8521737837989
2013-10,,412.0795524754188
2013-11,,359.1261004240221
2013-12,,417.2174085782123
2014-01,,245.75173956648044
2014-02,,73.41548746
2014-03,,118.51563342178771
2014-04,,214.47592615530723
2014-05,,186.43819900893854
2014-06,,134.62386428715084
2014-07,,125.0351462284916
2014-08,,180.93763886256983
2014-09,,202.59441618156427
2014-10,,309.1720519530725
2014-11,,387.55620855195525
2014-12,,365.65826103128495
2015-01,,182.0231039413408
2015-02,,118.22029668603352
2015-03,,172.7547319670391
2015-04,,200.68756245586596
2015-05,,133.64445754413407
2015-06,,145.12093281340782
2015-07,,75.47060338413408
2015-08,,163.08405749273743
2015-09,,175.31869283631283
2015-10,,136.9355076782123
2015-11,,372.0303826804471
2015-12,,316.64860632122907
2016-01,,288.1020430301676
2016-02,,187.81600290391063
2016-03,,244.79537773743016
2016-04,,154.63125032625697
2016-05,,222.2568052
2016-06,,146.8161291575419
2016-07,,157.07815558268157
2016-08,,159.52506083910615
2016-09,,235.2359390061452
2016-10,,286.830485573743
2016-11,,362.51544399944135
2016-12,,344.7319003793296
2017-01,371.8101582,349.52996706089385
2017-02,341.5672181,167.58398744357535
2017-03,174.314867,240.27602294525144
2017-04,193.7235584,220.73589662122907
2017-05,265.9003096,212.43199813743016
2017-06,118.107189,90.08638988530727
2017-07,138.4133986,121.34935279553072
2017-08,136.2970588,148.58136166927375
2017-09,186.6265622,298.6143315603347
2017-10,182.831429,285.55892811731843
2017-11,408.4669818,418.4611669
2017-12,397.1261355,284.2873706608938
2018-01,391.5202492,305.6821811184358
2018-02,224.2978845,164.50249961173185
2018-03,219.0821272,224.20383244860335
2018-04,200.6469911,182.95288908491622
2018-05,288.2373151,266.16677890167597
2018-06,301.8953,141.4505656536313
2018-07,166.6452526,138.7552955877095
2018-08,247.135412,137.49119466480445
2018-09,141.6123409,193.4063742122905
2018-10,418.4611669,413.45996566033523
2018-11,413.7243001,404.3487973893855
2018-12,315.1865102,336.0864542284917
2019-01,269.0801766,225.15577112793298
2019-02,161.2431007,178.76670870502795
2019-03,243.4930978,168.84457423351955
2019-04,251.446613,223.97714288882682
2019-05,139.3848202,208.34414210167594
2019-06,178.6974237,221.4605735
2019-07,119.2319821,128.72093966145252
2019-08,73.41548746,136.03724814078214
2019-09,77.32895289,135.73197061620127
2019-10,145.2011292,391.86474500614526
2019-11,133.2693656,230.19585506703913
2019-12,260.7783963,394.80861825865924
2020-01,220.8337528,161.66561537374304
2020-02,169.0457317,139.26542760111732
2020-03,184.6432086,189.67946000670395
2020-04,261.7066591,396.28055488491617
2020-05,335.3184491,265.15060671731845
2020-06,207.9092638,177.62014719273742
2020-07,151.924036,243.83901590837988
2020-08,135.1344061,138.04688165139663
2020-09,223.8662097,253.27126336592184
2020-10,283.394575,216.942991873743
2020-11,359.8407061,415.9736502564246
2020-12,215.6935854,220.2759725810056
2021-01,,217.83272072625698
2021-02,,74.44304542206703
2021-03,,312.6619227877095
2021-04,,216.05326302122904
2021-05,,282.2750131139664
2021-06,,139.0103615944134
2021-07,,142.29401018603352
2021-08,,268.6715903374302
2021-09,,219.81604854078213
2021-10,,210.38807011955308
2021-11,,206.4081236329609
2021-12,,270.99942554748606
2022-01,,204.50126990726255
2022-02,,176.46942001452516
2022-03,,191.5429171094972
2022-04,,218.72244957877095
2022-05,,138.50022958100558
2022-06,,246.70810139553072
2022-07,,135.42669309162008
2022-08,,223.0530369
2022-09,,183.428607750838
2022-10,,393.33668163240225
2022-11,,332.5067257899445
2022-12,,354.328033742457
2023-01,,278.5164839251397
2023-02,,136.37982069162013
2023-03,,224.0904876687151
2023-04,,185.91743018659218
2023-05,,165.92094173072624
2023-06,,140.8656859167598
2023-07,,139.69592644301676
2023-08,,247.76161996648048
2023-09,,152.1843450698324
2023-10,,264.04948060837995
2023-11,,267.0017160469274
2023-12,,398.39326916480445
